state_code,state_name,legislation_type,key_provisions,effective_date,physician_admin_allowed,wellness_allowed,aesthetics_allowed,risk_level,notes,source_url,last_updated
AL,Alabama,right_to_try_standard,Federal RTT adopted; terminal illness only; no physician exemption for non-IND cell therapy,06/04/2017,0,0,0,medium,Standard RTT for terminal patients only; moderate enforcement; growing aesthetics market in Birmingham and Mobile; no specific exosome exemption; monitor for new legislation,,01/05/2025
AK,Alaska,right_to_try_standard,Federal RTT adopted; terminal illness scope only,30/08/2016,0,0,0,medium,Standard RTT; sparse regulatory enforcement; limited commercial market priority; no specific cell therapy exemption,,01/05/2025
AZ,Arizona,right_to_try_2_0_advancing,SB 1214 Arizona Stem Cell Therapy Act advancing in 2026; would permit physician-offered non-FDA stem cell and birth tissue therapies with informed consent; RTT 2.0 passed April 2022 expanding access beyond Phase I for non-terminal patients,01/04/2022,1,0,0,medium,PRIORITY STATE. SB 1214 in Senate Health and Human Services Committee Feb 2026; RTT 2.0 already in force; strong RTT history as origin state; physician-admin likely imminent; scope covers stem cell and birth tissue which may include exosome-adjacent products; monitor final SB 1214 language,https://theregenreport.com/2026/02/23/arizona-pushes-new-stem-cell-therapy-bill/,23/02/2026
AR,Arkansas,right_to_try_standard,Standard RTT adopted; terminal illness scope; no cell therapy physician exemption,10/04/2015,0,0,0,medium,Standard RTT; conservative regulatory environment; limited commercial priority for initial entry; no specific exosome exemption,,01/05/2025
CA,California,none,No state cell therapy exemption; CDPH enforcement active and FDA-aligned; multiple warning actions against unapproved biologics in state,NA,0,0,0,high,AVOID initial entry. Highly restrictive; CDPH enforcement alongside FDA; 2025 warning to Chara Biologics (CharaExo) in CA for unapproved biologics; not viable for non-IND exosome commercial entry,https://djholtlaw.com/before-you-offer-exosome-therapy-understand-the-laws/,29/10/2025
CO,Colorado,right_to_try_standard,Standard RTT; federal scope; one of original 2014 adopters,18/05/2014,0,0,0,medium,Early RTT state; growing wellness and aesthetics market in Denver and Boulder; no specific cell therapy physician exemption; commercial opportunity in wellness channel despite standard RTT; monitor for new legislation,,01/05/2025
CT,Connecticut,none,No RTT law; no cell therapy exemption; strong state-level oversight,NA,0,0,0,high,No Right-to-Try; active state oversight; not favorable for non-IND exosome commercial entry; avoid in initial rollout,,01/05/2025
DE,Delaware,right_to_try_standard,Federal RTT adopted; standard scope,17/08/2016,0,0,0,high,Small state; relatively restrictive posture; FDA-adjacent geography; no specific exemption; limited commercial priority,,01/05/2025
DC,District of Columbia,none,Federal territory; no RTT; no cell therapy exemption; FDA enforcement jurisdiction,NA,0,0,0,high,Federal jurisdiction; FDA enforcement home territory; avoid as commercial entry point entirely,,01/05/2025
FL,Florida,physician_exemption_active,"SB 1768 signed 2025 - physicians may administer non-FDA-approved stem cell therapies for orthopedics, wound care and pain management; manufacturer FDA registration required; patient informed consent required; ancillary products language ambiguous re: exosomes",01/07/2025,1,0,1,low,"PRIORITY STATE - TIER 1. SB 1768 effective July 1 2025; significant and active exosome and regenerative clinic market statewide; FDA-state tension acknowledged but state law provides physician cover; exosome products exist in regulatory gray zone as ancillary products language may implicitly exclude pure secretome; high commercial value market; orthopedics, wound care, aesthetics channels active",https://fidjlaw.com/floridas-new-stem-cell-laws-unburdened-by-what-has-been/,09/03/2026
GA,Georgia,right_to_try_standard,Standard RTT adopted; no specific cell therapy exemption beyond terminal illness,08/05/2017,0,0,0,medium,Standard RTT; growing regenerative medicine and aesthetics market especially Atlanta metro; no specific physician exemption for exosomes; monitor for new legislation inspired by FL and UT,,01/05/2025
HI,Hawaii,right_to_try_standard,Standard RTT adopted; limited scope,10/07/2018,0,0,0,medium,Standard RTT; geographically isolated market; limited commercial priority for initial rollout; no specific cell therapy exemption,,01/05/2025
ID,Idaho,right_to_try_standard,Standard RTT; early adopter state; limited specific cell therapy legislation,10/04/2015,0,0,0,medium,RTT early adopter 2015; conservative environment; limited regulatory enforcement capacity; some commercial opportunity in wellness channel; monitor for cell therapy-specific legislation,,01/05/2025
IL,Illinois,none,No RTT; no cell therapy exemption; state-level oversight active,NA,0,0,0,high,No RTT in force; active state enforcement; unfavorable regulatory environment for non-IND biologics; avoid as initial market entry point,,01/05/2025
IN,Indiana,right_to_try_standard,Standard RTT adopted 2015,24/03/2015,0,0,0,medium,Standard RTT; moderate market; no specific cell therapy physician exemption; Indianapolis healthcare market; no specific exemption,,01/05/2025
IA,Iowa,right_to_try_standard,Standard RTT; early 2014 adopter,01/04/2014,0,0,0,medium,Standard RTT; rural market; limited commercial priority for initial entry; no specific exemption,,01/05/2025
KS,Kansas,right_to_try_standard,Standard RTT; Kansas was among first states to adopt in 2014,16/04/2014,0,0,0,medium,Early RTT state; no specific cell therapy exemption; conservative environment; limited commercial priority,,01/05/2025
KY,Kentucky,right_to_try_standard,Standard RTT adopted,10/04/2017,0,0,0,medium,Standard RTT; no specific cell therapy exemption; Louisville and Lexington healthcare markets; monitor,,01/05/2025
